locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
1,Dongcheng Dongsi,,39.9304,116.423239,80,30,37,12,6,11,7,-7,1020,37,1,20150318090000
2,"Temple of Heaven, Dongcheng",,39.887403,116.41324,113,40,61,17,5,5,5,-5,1018,49,1,20150318090000
3,West Park officials,,39.930333,116.345162,72,44,42,11,4,7,6,-6,1019,42,1,20150318090000
4,West Wanshou Nishinomiya,,39.879354,116.358183,80,32,47,30,7,6,5,-5,1018,49,1,20150318090000
5,Chaoyang Olympic Sports Center,,39.983406,116.403253,87,48,45,15,6,11,8,-7,1021,34,3,20150318090000
6,Chaoyang Agricultural Exhibition Hall,,39.938331,116.46715,87,37,47,18,7,6,5,-6,1018,45,2,20150318090000
7,Haidian Wanliu,,39.988245,116.293062,79,53,29,23,8,11,7,-7,1020,37,1,20150318090000
8,The Haidian northern New Area,,40.091313,116.180194,180,90,18,18,11,18,17,-7,1018,19,4,20150318090000
9,Haidian Beijing Botanical Garden,,40.003252,116.213097,76,33,25,11,4,5,5,-5,1018,49,1,20150318090000
10,Fengtai garden,,39.86423,116.285037,98,40,20,22,6,5,5,-5,1018,49,1,20150318090000
11,Fengtai Yungang,,39.82535,116.152237,147,73,20,26,9,6,5,-5,1018,49,1,20150318090000
12,Shijingshan city,,39.915286,116.190144,109,59,43,31,8,6,5,-5,1018,49,1,20150318090000
13,"Fangshan, Liangxiang",,39.743357,116.14225,154,79,15,23,10,6,8,-7,1018,34,2,20150318090000
14,"Huangcunzhen, Daxing",,39.719389,116.410219,83,53,21,16,6,4,5,-6,1018,45,2,20150318090000
15,BDA,,39.796197,116.51197,226,116,19,19,17,29,17,-7,1018,19,4,20150318090000
16,Tongzhou New Town,,39.887113,116.6689,140,48,15,34,11,1,6,-6,1019,42,1,20150318090000
17,Shunyi New Town ,,40.128111,116.660908,124,48,48,15,8,9,7,-7,1020,37,1,20150318090000
18,Changping Town,,40.218245,116.236084,142,64,44,24,9,8,11,-9,1017,24,2,20150318090000
19,"Mentougou, Longquan Town",,39.938397,116.112323,219,80,23,23,13,10,17,-7,1018,19,4,20150318090000
20,Pinggu town,,40.144433,117.106563,152,80,14,36,9,8,5,-5,1018,49,1,20150318090000
21,Huairou town,,40.329104,116.63387,142,69,40,23,3,9,5,-5,1018,49,1,20150318090000
22,The town of Miyun,,40.371186,116.838053,153,85,13,29,14,9,9,-7,1018,32,2,20150318090000
23,Yanqing town,,40.454217,115.978106,121,69,37,10,7,12,7,-7,1020,37,1,20150318090000
24,Changping Dingling,,40.293269,116.226108,148,74,49,16,8,7,13,-11,1016,18,3,20150318090000
25,Badaling Northwest,,40.36623,115.994146,154,93,15,14,8,5,11,-9,1017,24,2,20150318090000
26,Miyun Reservoir,,40.500157,116.91701,40,5,36,1,2,5,17,-7,1018,19,4,20150318090000
27,"Donggaocun Zhen, Pinggu",,40.10142,117.126556,158,84,24,7,8,15,17,-7,1018,19,4,20150318090000
28,"Yongledianzhen, Tongzhou",,39.713192,116.78905,102,38,5,,11,11,11,-9,1017,24,2,20150318090000
29,"Yufazhen, Daxing",,39.521203,116.306026,181,165,17,9,13,26,17,-7,1018,19,4,20150318090000
30,"Liulihezhen, Fangshan",,39.581169,116.006089,94,69,38,9,7,7,8,-7,1021,34,3,20150318090000
31,"Qianmen E St, Dongcheng",,39.900402,116.401242,85,40,25,18,7,12,8,-7,1021,34,3,20150318090000
32,Yongdingmen Inner St,,39.877401,116.400238,76,50,19,24,6,6,6,-6,1019,42,1,20150318090000
33,Xizhimen N St,,39.955352,116.355187,190,101,19,31,10,14,17,-7,1018,19,4,20150318090000
34,South Ring Road,,39.857377,116.37421,92,30,12,54,7,6,5,-6,1018,45,2,20150318090000
35,East Fourth Ring Road,,39.940273,116.489075,181,115,13,39,2,24,17,-7,1018,19,4,20150318090000
36,Beijing,,39.955906,116.474246,87,30,26,12,6,11,7,-7,1020,37,1,20150318090000
37,Putuo,,31.232979,121.415378,99,35,32,19,4,5,15,14,1014,94,3,20150318090000
38,Yangpu Sipiao,,31.263795,121.540311,93,32,37,29,3,7,15,14,1014,94,3,20150318090000
39,Shanghai Normal College Primary Division,,31.199031,121.487719,149,51,53,27,6,16,16,15,1006,94,3,20150318090000
40,Dianshan Lake,,31.091338,120.982293,117,42,37,39,6,10,17,17,1003,100,1,20150318090000
41,Hongkou Liangcheng,,31.298906,121.47155,95,33,37,28,5,7,15,14,1014,94,3,20150318090000
42,Jingan,,31.224251,121.429637,129,47,54,24,7,14,16,15,1005,94,3,20150318090000
43,Shanghai Normal University,,31.163531,121.416643,87,29,43,26,6,13,17,17,1003,100,1,20150318090000
44,Chuansha,,31.188626,121.707342,82,30,30,22,4,6,16,15,1005,94,3,20150318090000
45,Zhangjiang,,31.204896,121.581215,93,33,40,25,7,7,16,15,1005,94,3,20150318090000
46,Lingshan Road,,31.226286,121.537317,65,19,37,12,4,7,13,13,1014,100,4,20150318090000
1080,City average,,31.228451,121.478227,58,17,30,16,4,6,13,13,1014,100,4,20150318090000
47,Shanghai,,31.202842,121.453493,117,58,26,13,6,8,23,16,1007,65,4,20150318090000
48,Guangzhou,,23.138517,113.263701,78,28,5,24,4,4,23,21,1010,88,4,20150318090000
49,"Huadu town, Guangzhou",,23.389121,113.220062,112,43,15,27,7,4,22,21,1012,94,2,20150318090000
50,"Luogang Zhenlong, Guangzhou",,23.308027,113.567032,122,59,10,17,7,7,22,21,1009,94,2,20150318090000
51,"LuHu, Guangzhou",,23.151743,113.281842,74,32,13,21,6,6,21,20,1010,94,1,20150318090000
52,"Tianhu, Guangzhou",,23.647433,113.629715,157,58,40,20,5,5,22,21,1012,94,2,20150318090000
53,"Zhudong, Guangzhou",,23.418406,113.078552,152,61,14,27,16,6,-,-,0,-,-,20150318090000
54,"Modiesha station, Guangzhou",,23.103814,113.338238,80,45,5,29,18,10,22,21,1012,94,3,20150318090000
55,Zhuhai,,22.2677,113.581765,78,53,23,17,1,7,18,17,1012,94,6,20150318090000
1075,"Huicai technical school, Foshan",,23.039667,113.105492,72,25,18,22,4,6,24,21,1014,83,4,20150318090000
56,"Sanshuiyun donghai, Foshan",,23.185788,112.865368,85,26,17,22,9,7,-,-,0,-,-,20150318090000
57,"Nanhai Bureau of Meteorology, Foshan",,23.046836,113.145764,85,28,26,23,7,8,-,-,0,-,-,20150318090000
58,"Sanshui Monitoring Station, Foshan",,23.163551,112.890843,85,30,18,20,7,10,-,-,0,-,-,20150318090000
1398,"Jinjuzui, Foshan",,22.816916,113.266974,65,31,12,4,3,9,22,21,1012,94,2,20150318090000
1399,"Ronggui street committee, Foshan",,22.760073,113.262301,85,28,10,16,8,8,22,21,1013,94,2,20150318090000
1087,Foshan,,23.018995,113.126899,76,47,20,22,4,4,25,21,1009,78,4,20150318090000
59,"Ronggui street committee, Shunde",,22.762729,113.258356,155,73,28,31,14,11,9,1,1025,58,3,20150318090000
60,Shunde,,22.80246,113.298701,59,34,27,6,4,6,24,21,1012,83,4,20150318090000
61,"Donghu, Jiangmen",,22.590411,113.087351,59,27,20,9,5,-,-,-,0,-,-,20150318090000
62,"Taoyuan Atmosphere Premier Station, Jiangmen",,22.72489,112.93404,85,38,6,7,4,6,-,-,0,-,-,20150318090000
63,Jiangmen,,22.576047,113.087351,68,23,17,11,4,2,21,20,1009,94,5,20150318090000
64,"Kengkouzi station, Zhaoqing",,23.158865,112.570287,154,57,18,19,17,8,22,21,1012,94,1,20150318090000
65,"Mugangzi station, Zhaoqing",,23.067961,112.431934,114,57,14,15,7,8,22,21,1013,94,1,20150318090000
67,Zhaoqing,,23.044571,112.470346,70,30,26,4,40,6,22,21,1009,94,2,20150318090000
68,"Jinguo Bay, Huizhou",,22.937223,114.385567,85,34,28,4,3,5,-,-,0,-,-,20150318090000
1091,"Xiabu, Huizhou",,23.077493,114.410275,59,24,26,5,2,5,-,-,0,-,-,20150318090000
69,"Xijiao, Huizhou",,23.338178,114.112867,59,27,13,5,3,4,22,20,1012,88,1,20150318090000
70,"Jiangbei, Huizhou",,23.111706,114.415274,76,32,27,13,1,7,23,20,1013,83,4,20150318090000
71,"Huiyang chuanhu, Huizhou",,22.814485,114.329292,89,54,27,6,3,7,-,-,0,-,-,20150318090000
72,"Daya bay management committee, Huizhou",,22.739283,114.53631,82,41,31,8,8,4,-,-,0,-,-,20150318090000
73,Huizhou,,23.109349,114.421164,68,26,29,5,3,5,23,20,1010,83,3,20150318090000
74,"Guancheng No.2 water plant, Dongguan",,23.057294,113.753254,93,48,21,18,12,10,-,-,0,-,-,20150318090000
75,"Dongcheng Shijing, Dongguan",,23.010039,113.799529,117,58,20,15,4,8,22,20,1013,88,3,20150318090000
76,"Nancheng Xiping, Dongguan",,22.963051,113.743494,107,41,26,18,7,7,23,20,1012,83,2,20150318090000
77,"Nancheng Yuanling, Dongguan",,23.025058,113.751308,104,54,24,19,4,6,23,20,1012,83,3,20150318090000
78,Dongguan,,23.017813,113.756958,104,34,27,21,5,6,23,20,1009,83,4,20150318090000
79,"Zimaling, Zhongshan",,22.505112,113.407183,74,35,14,6,3,6,-,-,0,-,-,20150318090000
80,"Yangtze River tourist area, Zhongshan",,22.48589,113.439054,38,22,21,2,3,7,20,20,1013,100,2,20150318090000
81,"Huabai Park, Zhongshan",,22.51839,113.374362,46,21,13,6,8,6,-,-,0,-,-,20150318090000
82,Zhongshan,,22.513997,113.398277,80,32,18,7,3,7,21,21,1011,100,1,20150318090000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,59,25,12,17,17,13,-,-,0,-,-,20150318090000
83,"No.8 middle school, Shaoguan",,24.767777,113.583537,59,25,12,17,17,13,-,-,0,-,-,20150318090000
84,"Forest area, Shaoguan",,24.796106,113.612131,65,30,11,5,7,15,23,19,1011,75,4,20150318090000
84,"Forest area, Shaoguan",,24.796107,113.612131,65,30,11,5,7,15,23,19,1011,75,4,20150318090000
86,"Shaoguan University, Shaoguan",,24.790864,113.646599,99,35,17,8,5,13,-,-,0,-,-,20150318090000
86,"Shaoguan University, Shaoguan",,24.790864,113.646598,99,35,17,8,5,13,-,-,0,-,-,20150318090000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,68,25,15,14,8,7,22,20,1010,82,3,20150318090000
88,"Qujiang Monitoring Station, Shaoguan",,24.683042,113.60157,68,25,15,14,8,7,22,20,1010,82,3,20150318090000
89,Shaoguan,,24.807342,113.602712,59,30,17,13,15,11,22,20,1010,82,3,20150318090000
90,"Chaonanzi Station, Shantou",,23.251174,116.406606,117,56,30,10,8,5,19,19,1011,100,1,20150318090000
